"Collection.code"	"Collected.by"	"DateCollected.Start."	"Locality.Name"	"District"	"State.Prov"	"Country"	"LocLatitude"	"LocLongitude"	"X.Species.Genus"	"Species.groups"	"SpeciesName"
"NMH001058"	"N. Macías"	"1/30/2007"	"Barranco del Agua"	"Güímar"	"Tenerife"	"Canary Islands"	28.307838	-16.448156	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001079"	"N. Macías & H. Morales"	"1/16/2007"	"Cumbres de Arico. Pista de Izaña"	"Arico"	"Tenerife"	"Canary Islands"	28.249217	-16.528748	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001108"	"M. Rezac"	"3/4/2006"	"Camino La Ensillada-Chamorga, Anaga"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.556209	-16.179828	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001109"	"M. Rezac"	"3/4/2006"	"Camino La Ensillada-Chamorga, Anaga"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.556209	-16.179828	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001117"	"M. Rezac"	"3/8/2006"	"Las Raíces"	"El Rosario"	"Tenerife"	"Canary Islands"	28.43558	-16.3735	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001118"	"M. Rezac"	"3/8/2006"	"Las Raíces"	"El Rosario"	"Tenerife"	"Canary Islands"	28.43558	-16.3735	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001120"	"M. Rezac"	"3/8/2006"	"Las Raíces"	"El Rosario"	"Tenerife"	"Canary Islands"	28.43558	-16.3735	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001121"	"M. Rezac"	"3/8/2006"	"Las Raíces"	"El Rosario"	"Tenerife"	"Canary Islands"	28.43558	-16.3735	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001127"	"M. Rezac"	"3/8/2006"	"Las Raíces"	"El Rosario"	"Tenerife"	"Canary Islands"	28.43558	-16.3735	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001145"	"N. Macías"	"3/27/2007"	"La Fortaleza (pinar). P.N. del Teide"	"La Orotava"	"Tenerife"	"Canary Islands"	28.316723	-16.59124	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001148"	"N. Macías"	"3/27/2007"	"La Fortaleza (pinar). P.N. del Teide"	"La Orotava"	"Tenerife"	"Canary Islands"	28.316723	-16.59124	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001209"	"N. Macías"	"4/13/2007"	"La Ensillada (Aparcamiento). Anaga"	"Santa Cruz de Tenerife"	"Tenerife"	"Canary Islands"	28.556191	-16.179817	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001210"	"N. Macías"	"4/13/2007"	"La Ensillada (Aparcamiento). Anaga"	"Santa Cruz de Tenerife"	"Tenerife"	"Canary Islands"	28.556191	-16.179817	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001240"	"N. Macías & S. de la CRuz"	"4/20/2007"	"Camino a Ichires. Anaga"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.540023	-16.231988	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001241"	"N. Macías & S. de la CRuz"	"4/20/2007"	"Camino a Ichires. Anaga"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.540023	-16.231988	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001484"	"S. de la Cruz & H. López"	"3/31/2009"	"Los Lomitos. Monte de Las Mesas"	"Santa Cruz de Tenerife"	"Tenerife"	"Canary Islands"	28.481365	-16.263627	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001485"	"S. de la Cruz & H. López"	"3/31/2009"	"Los Lomitos. Monte de Las Mesas"	"Santa Cruz de Tenerife"	"Tenerife"	"Canary Islands"	28.481365	-16.263627	"Dysdera"	"Western Canarian"	"verneaui"
"UB4796 (T17)-freezer"	"Arnedo & Ribera"	"11/1/1993"	"Las Raíces"	"El Rosario"	"Tenerife"	"Canary Islands"	28.43558	-16.3735	"Dysdera"	"Western Canarian"	"verneaui"
"NetBiome_23"	"A.J Pérez"	"12/13/2012"	"Zapata"	"Santa Cruz de Tenerife"	"Tenerife"	"Canary Islands"	28.535499	-16.2962	"Dysdera "	"Western Canarian"	"verneaui"
"NetBiome_29"	"A.J Pérez"	"3/14/2013"	"Zapata"	"Santa Cruz de Tenerife"	"Tenerife"	"Canary Islands"	28.535499	-16.2962	"Dysdera "	"Western Canarian"	"verneaui"
